工作名称,工作薪资,工作网站,公司名称,公司网站,公司性质,公司地点,公司标签,公司人数,公司待遇,工作年限,招聘日期
java开发工程师（北京）,,https://jobs.51job.com/beijing/123098021.html?s=01&t=0,中国人民人寿保险股份有限公司,https://jobs.51job.com/all/co5915633.html,北京,民营公司,金融/投资/证券,,,4,2020-09-16 05:19:08
JAVA开发工程师（北京）,6-8千/月,https://jobs.51job.com/beijing/123094217.html?s=01&t=0,软通动力信息技术（集团）有限公司,https://jobs.51job.com/all/co5915686.html,北京,民营公司,多元化业务集团公司,,,,2020-09-16 05:19:04
Java开发工程师 Java Development Engineer,2-2.5万/月,https://jobs.51job.com/beijing/123186481.html?s=01&t=0,北京欧维博思软件有限公司,https://jobs.51job.com/all/co5915720.html,北京,民营公司,多元化业务集团公司,,,1,2020-09-16 05:19:03
Java开发工程师（北京）,,https://jobs.51job.com/beijing/125154782.html?s=01&t=0,中科星图股份有限公司,https://jobs.51job.com/all/co6060956.html,北京,国企,计算机软件,,,,2020-09-16 05:02:02
软件开发-Java（北京),,https://jobs.51job.com/beijing/116253858.html?s=01&t=0,金蝶软件（中国）有限公司,https://jobs.51job.com/all/co5573515.html,北京,民营公司,计算机软件,,,,2020-09-16 04:52:01
高级Java开发工程师（ERP）,3-4万/月,https://jobs.51job.com/beijing-cyq/125474666.html?s=01&t=0,美团点评,https://jobs.51job.com/all/co4400526.html,北京-朝阳区,民营公司,计算机软件,10000人以上,,5,2020-09-16 10:02:09
Java资深开发工程师,2.5-5万/月,https://jobs.51job.com/beijing-hdq/125494029.html?s=01&t=0,网易集团,https://jobs.51job.com/all/co3645991.html,北京-海淀区,上市公司,互联网/电子商务,10000人以上,,5,2020-09-16 07:09:02
高级JAVA开发工程师（CIO）(J23173),1-1.5万/月,https://jobs.51job.com/beijing-dxq/125486772.html?s=01&t=0,京东方科技集团股份有限公司,https://jobs.51job.com/all/co156141.html,北京-大兴区,上市公司,电子技术/半导体/集成电路,10000人以上,,5,2020-09-16 04:17:22
JAVA开发工程师,6-7千/月,https://jobs.51job.com/beijing-hdq/103299393.html?s=01&t=0,颖异星软(北京)科技有限责任公司,https://jobs.51job.com/all/co4064524.html,北京-海淀区,民营公司,计算机软件,少于50人,,1,2020-09-16 14:01:42
Java高级开发工程师,1.5-2万/月,https://jobs.51job.com/beijing/124955046.html?s=01&t=0,和德信通（北京）科技发展有限公司,https://jobs.51job.com/all/co2264057.html,北京,合资,通信/电信运营、增值服务,50-150人,周末双休 绩效奖金 带薪年假 五险一金 补充医疗保险 员工旅游 餐饮补贴 年终奖金 定期体检 专业培训,5,2020-09-16 13:51:37
JAVA工程师,1-1.5万/月,https://jobs.51job.com/beijing-cyq/125242081.html?s=01&t=0,北京中腾佰脉医疗科技有限责任公司,https://jobs.51job.com/all/co5922220.html,北京-朝阳区,合资,计算机软件,少于50人,五险一金 年终奖金 弹性工作,3,2020-09-16 13:27:32
